Idsuelo;Id;Fecha;Muestreo;Profsutot;Profsuef;Idhz;Profhzini;Profhzfin;Corg;pHx10;Grava;Arena;Limo;Arcilla;Dsuelo;Dtf;CE;CICE;CAD;Notas;Idsuelo1
VE_AM69/11;1;;Calicata;;;A1;0;10;40;35;0;97;1;2;1,7;;;;;;VE_AM69/11_1
VE_AM69/11;2;;Calicata;;;A2;10;30;30;39,00000095;0;95;3;2;1,7;;;;;;VE_AM69/11_2
VE_AM69/11;3;;Calicata;;;C1;30;70;;40;0;89;7;4;1,6;;;;;;VE_AM69/11_3
VE_AM69/11;4;;Calicata;;;C2;70;110;;40,99999905;0;85;9;6;1,6;;;;;;VE_AM69/11_4
VE_AM69/12;5;;Calicata;;;A1;0;12;270;37,00000048;0;71;22;7;1,5;;;0,899999976;;;VE_AM69/12_1
VE_AM69/12;6;;Calicata;;;AB;12;24;160;41,99999809;0;79;11;10;1,6;;;1,299999952;;;VE_AM69/12_2
VE_AM69/12;7;;Calicata;;;Bt1;24;34;90;40,99999905;0;78;10;12;1,6;;;1,100000024;;;VE_AM69/12_3
VE_AM69/12;8;;Calicata;;;Bt2;34;50;40;48,00000191;0;69;10;21;1,5;;;1,299999952;;;VE_AM69/12_4
VE_AM69/12;9;;Calicata;;;R;50;60;;;;;;;;;;;;;VE_AM69/12_5
VE_AM70/11;10;;Calicata;;;A;0;13;160;34,00000095;0;66;28;6;1,519999981;;;16,5;;;VE_AM70/11_1
VE_AM70/11;11;;Calicata;;;Ggn;13;33;30;40;0;77;20;3;1,580000043;;;1;;;VE_AM70/11_2
VE_AM70/11;12;;Calicata;;;Cg2;33;60;30;40,99999905;0;87;10;3;1,629999995;;;0,800000012;;;VE_AM70/11_3
VE_AM70/11;13;;Calicata;;;Cg3;60;80;20;46,99999809;0;88;8;4;1,639999986;;;0,600000024;;;VE_AM70/11_4
VE_AM70/11;14;;Calicata;;;Cg4;80;150;10;50,99999905;0;91;5;4;1,659999967;;;0,600000024;;;VE_AM70/11_5
VE_AM70/12;15;;Calicata;;;A1;0;10;160;35,99999905;0;66;21;13;1,519999981;;;4,099999905;;;VE_AM70/12_1
VE_AM70/12;16;;Calicata;;;Bwg1;10;30;70;32,00000048;0;65;19;16;1,50999999;;;1,700000048;;;VE_AM70/12_2
VE_AM70/12;17;;Calicata;;;Bwg2;30;50;30;35;0;69;15;16;1,529999971;;;2,5;;;VE_AM70/12_3
VE_AM70/12;18;;Calicata;;;Bwg3;50;73;10;41,99999809;0;68;18;14;1,519999981;;;1,799999952;;;VE_AM70/12_4
VE_AM70/12;19;;Calicata;;;Bwg4;73;92;10;43,00000191;0;71;15;14;1,529999971;;;1,899999976;;;VE_AM70/12_5
VE_AM73/11;20;;Calicata;;;A;0;10;140;32,00000048;1;28;34;38;1,370000005;;;6,400000095;;;VE_AM73/11_1
VE_AM73/11;21;;Calicata;;;Bo1;10;27;120;34,00000095;1;23;26;51;1,320000052;;;5,5;;;VE_AM73/11_2
VE_AM73/11;22;;Calicata;;;Bo2;27;47;120;37,00000048;1;20;31;49;1,299999952;;;3,799999952;;;VE_AM73/11_3
