Idsuelo,Id,Muestreo,Idhz,Profhzini,Profhzfin,Corg,pHx10,pH,Grava,Arena,Limo,Arcilla,Dsuelo,CE,CICE,Idsuelo1
VE_AM69/11,1,Calicata,A1,0,10,40,35.00,3.50,0,97,1,2,1.68,,,VE_AM69/11_1
VE_AM69/11,2,Calicata,A2,10,30,30,39.00,3.90,0,95,3,2,1.66,,,VE_AM69/11_2
VE_AM69/11,3,Calicata,C1,30,70,,40.00,4.00,0,89,7,4,1.64,,,VE_AM69/11_3
VE_AM69/11,4,Calicata,C2,70,110,,41.00,4.10,0,85,9,6,1.62,,,VE_AM69/11_4
VE_AM69/12,5,Calicata,A1,0,12,270,37.00,3.70,0,71,22,7,1.55,,0.900,VE_AM69/12_1
VE_AM69/12,6,Calicata,AB,12,24,160,42.00,4.20,0,79,11,10,1.58,,1.300,VE_AM69/12_2
VE_AM69/12,7,Calicata,Bt1,24,34,90,41.00,4.10,0,78,10,12,1.57,,1.100,VE_AM69/12_3
VE_AM69/12,8,Calicata,Bt2,34,50,40,48.00,4.80,0,69,10,21,1.51,,1.300,VE_AM69/12_4
VE_AM69/12,9,Calicata,R,50,60,,,,,,,,,,,VE_AM69/12_5
VE_AM70/11,10,Calicata,A,0,13,160,34.00,3.40,0,66,28,6,1.52,,16.500,VE_AM70/11_1
VE_AM70/11,11,Calicata,Ggn,13,33,30,40.00,4.00,0,77,20,3,1.58,,1.000,VE_AM70/11_2
VE_AM70/11,12,Calicata,Cg2,33,60,30,41.00,4.10,0,87,10,3,1.63,,0.800,VE_AM70/11_3
VE_AM70/11,13,Calicata,Cg3,60,80,20,47.00,4.70,0,88,8,4,1.64,,0.600,VE_AM70/11_4
VE_AM70/11,14,Calicata,Cg4,80,150,10,51.00,5.10,0,91,5,4,1.66,,0.600,VE_AM70/11_5
VE_AM70/12,15,Calicata,A1,0,10,160,36.00,3.60,0,66,21,13,1.52,,4.100,VE_AM70/12_1
VE_AM70/12,16,Calicata,Bwg1,10,30,70,32.00,3.20,0,65,19,16,1.51,,1.700,VE_AM70/12_2
VE_AM70/12,17,Calicata,Bwg2,30,50,30,35.00,3.50,0,69,15,16,1.53,,2.500,VE_AM70/12_3
VE_AM70/12,18,Calicata,Bwg3,50,73,10,42.00,4.20,0,68,18,14,1.52,,1.800,VE_AM70/12_4
VE_AM70/12,19,Calicata,Bwg4,73,92,10,43.00,4.30,0,71,15,14,1.53,,1.900,VE_AM70/12_5
VE_AM73/11,20,Calicata,A,0,10,140,32.00,3.20,1,28,34,38,1.37,,6.400,VE_AM73/11_1
VE_AM73/11,21,Calicata,Bo1,10,27,120,34.00,3.40,1,23,26,51,1.32,,5.500,VE_AM73/11_2
VE_AM73/11,22,Calicata,Bo2,27,47,120,37.00,3.70,1,20,31,49,1.30,,3.800,VE_AM73/11_3
VE_AM73/11,23,Calicata,Bo3,47,80,110,40.00,4.00,1,13,17,70,1.21,,3.400,VE_AM73/11_4
VE_AM76/11,24,Calicata,A1,0,20,110,34.00,3.40,1,57,9,34,1.47,,3.300,VE_AM76/11_1
VE_AM76/11,25,Calicata,Bt,20,50,50,36.00,3.60,1,38,18,44,1.37,,3.300,VE_AM76/11_2
VE_AM76/11,26,Calicata,Bt2,50,73,30,40.00,4.00,1,40,12,48,1.36,,2.200,VE_AM76/11_3
VE_AM76/11,27,Calicata,Bt3,73,82,30,42.00,4.20,1,39,12,50,1.35,,2.100,VE_AM76/11_4
VE_AM76/11,28,Calicata,Bt4,82,121,20,44.00,4.40,3,41,14,45,1.36,,2.300,VE_AM76/11_5
VE_AM76/12,29,Calicata,A,0,20,120,35.00,3.50,25,13,33,54,1.34,,12.400,VE_AM76/12_1
VE_AM76/12,30,Calicata,R,20,30,,,,,,,,,,,VE_AM76/12_2
VE_AM78/11,31,Calicata,A1,0,8,220,40.00,4.00,0,11,64,25,1.38,,4.500,VE_AM78/11_1
VE_AM78/11,32,Calicata,A2,8,19,30,39.00,3.90,0,20,63,17,1.40,,4.100,VE_AM78/11_2
VE_AM78/11,33,Calicata,AB,19,42,20,46.00,4.60,0,18,64,18,1.40,,2.600,VE_AM78/11_3
VE_AM78/11,34,Calicata,Btg1,42,75,10,46.00,4.60,0,16,58,26,1.37,,1.800,VE_AM78/11_4
VE_AM78/11,35,Calicata,Btg2,75,113,20,46.00,4.60,0,12,61,27,1.36,,4.800,VE_AM78/11_5
VE_AM78/12,36,Calicata,A,0,16,60,48.00,4.80,0,91,5,4,1.66,,2.800,VE_AM78/12_1
VE_AM78/12,37,Calicata,AC,16,33,60,50.00,5.00,0,96,3,1,1.68,,2.100,VE_AM78/12_2
VE_AM78/12,38,Calicata,C1,33,48,630,50.00,5.00,0,93,5,2,1.68,,2.100,VE_AM78/12_3
VE_AM78/12,39,Calicata,C2,48,66,30,51.00,5.10,0,93,3,4,1.68,,1.800,VE_AM78/12_4
VE_AM78/12,40,Calicata,C3,66,80,10,53.00,5.30,0,98,1,1,1.69,,2.500,VE_AM78/12_5
VE_AM79/11,41,Calicata,A,0,5,70,35.00,3.50,0,74,7,19,1.56,,3.700,VE_AM79/11_1
VE_AM79/11,42,Calicata,Bt1,5,35,30,38.00,3.80,0,69,5,26,1.54,,3.300,VE_AM79/11_2
VE_AM79/11,43,Calicata,Bt2,35,95,30,37.00,3.70,0,68,4,28,1.54,,2.900,VE_AM79/11_3
VE_AM79/11,44,Calicata,Bt3,95,120,,,,,,,,,,,VE_AM79/11_4
VE_AM79/12,45,Calicata,A,0,16,60,48.00,4.80,0,91,5,4,1.66,,2.800,VE_AM79/12_1
VE_AM79/12,46,Calicata,AC,16,33,60,49.00,4.90,0,96,2,2,1.68,,1.900,VE_AM79/12_2
VE_AM79/12,47,Calicata,C1,33,48,60,50.00,5.00,0,93,5,2,1.68,,2.100,VE_AM79/12_3
VE_AM79/12,48,Calicata,C2,48,66,30,51.00,5.10,0,93,3,4,1.68,,1.800,VE_AM79/12_4
VE_AM79/12,49,Calicata,C3,66,80,10,53.00,5.30,0,98,1,1,1.69,,2.500,VE_AM79/12_5
VE_AM81/11,50,Calicata,A1,0,7,160,46.00,4.60,60,69,21,10,1.53,,2.700,VE_AM81/11_1
VE_AM81/11,51,Calicata,Bt1,7,20,120,31.00,3.10,60,56,13,31,1.40,,1.100,VE_AM81/11_2
VE_AM81/11,52,Calicata,Bt2,20,45,80,34.00,3.40,25,36,18,46,1.30,,1.900,VE_AM81/11_3
VE_AM81/11,53,Calicata,Bt3,45,70,70,38.00,3.80,25,36,17,47,1.27,,0.500,VE_AM81/11_4
VE_AM81/11,54,Calicata,Bt4,70,90,60,44.00,4.40,60,33,27,40,1.32,,0.500,VE_AM81/11_5
VE_AM81/12,55,Calicata,A1,0,18,150,58.00,5.80,60,74,16,10,1.56,,9.000,VE_AM81/12_1
VE_AM81/12,56,Calicata,C1,18,43,30,61.00,6.10,60,73,10,17,1.53,,6.600,VE_AM81/12_2
VE_AM82/11,57,Calicata,A,0,8,320,28.00,2.80,0,45,27,28,1.45,,7.400,VE_AM82/11_1
VE_AM82/11,58,Calicata,Bt1,8,28,110,28.00,2.80,0,35,18,47,1.36,,11.300,VE_AM82/11_2
VE_AM82/11,59,Calicata,Bt2,28,72,40,37.00,3.70,0,28,16,56,1.30,,6.700,VE_AM82/11_3
VE_AM82/11,60,Calicata,Bt3,72,101,30,40.00,4.00,0,27,15,58,1.28,,4.600,VE_AM82/11_4
VE_AM82/11,61,Calicata,Bt4,101,127,20,44.00,4.40,0,31,8,61,1.26,,3.500,VE_AM82/11_5
VE_AM82/12,62,Calicata,A,0,9,350,34.00,3.40,0,40,21,39,1.37,,7.000,VE_AM82/12_1
VE_AM82/12,63,Calicata,Bo1,9,32,110,32.00,3.20,1,31,8,61,1.26,,6.000,VE_AM82/12_2
VE_AM82/12,64,Calicata,Bo2,32,57,110,36.00,3.60,10,27,11,62,1.26,,5.100,VE_AM82/12_3
VE_AM82/12,65,Calicata,Bo3,57,75,70,38.00,3.80,10,26,11,63,1.25,,3.000,VE_AM82/12_4
VE_AN55/11,66,Calicata,Ap,0,5,30,59.00,5.90,0,20,25,55,1.27,,16.400,VE_AN55/11_1
VE_AN55/11,67,Calicata,B1w,5,30,40,64.00,6.40,0,19,28,53,1.28,,17.700,VE_AN55/11_2
VE_AN55/11,68,Calicata,B2w,30,51,10,67.00,6.70,0,14,33,53,1.26,,18.500,VE_AN55/11_3
VE_AN55/11,69,Calicata,BC,51,73,10,77.00,7.70,0,25,33,42,1.33,,14.000,VE_AN55/11_4
VE_AN55/11,70,Calicata,C,73,150,10,76.00,7.60,0,60,18,22,1.50,,5.900,VE_AN55/11_5
VE_AN55/12,71,Calicata,AB,0,15,80,67.00,6.70,0,62,18,20,1.52,,6.300,VE_AN55/12_1
VE_AN55/12,72,Calicata,Bt1,15,32,40,56.00,5.60,0,58,13,29,1.48,,7.600,VE_AN55/12_2
VE_AN55/12,73,Calicata,Bt2,32,63,70,59.00,5.90,0,58,14,28,1.48,,7.200,VE_AN55/12_3
VE_AN55/12,74,Calicata,Bt3,63,83,80,55.00,5.50,0,61,16,23,1.50,,5.200,VE_AN55/12_4
VE_AN55/12,75,Calicata,BC,83,98,10,62.00,6.20,0,63,18,19,1.53,,4.700,VE_AN55/12_5
VE_AN56/11,76,Calicata,Aw,0,7,170,50.00,5.00,0,22,28,50,1.28,,14.000,VE_AN56/11_1
VE_AN56/11,77,Calicata,Bw1,7,28,60,62.00,6.20,0,12,18,70,1.17,,16.100,VE_AN56/11_2
VE_AN56/11,78,Calicata,Bw2,28,58,40,62.00,6.20,0,17,15,68,1.22,,16.100,VE_AN56/11_3
VE_AN56/11,79,Calicata,Bw3,58,85,20,64.00,6.40,0,17,18,65,1.24,,17.500,VE_AN56/11_4
VE_AN56/11,80,Calicata,Bw4,85,103,20,68.00,6.80,0,18,18,64,1.24,,14.200,VE_AN56/11_5
VE_AN56/12,81,Calicata,AB,0,15,80,67.00,6.70,0,62,18,20,1.52,,6.300,VE_AN56/12_1
VE_AN56/12,82,Calicata,Bt1,15,32,40,56.00,5.60,0,58,14,28,1.49,,7.600,VE_AN56/12_2
VE_AN56/12,83,Calicata,Bt2,32,63,,,,,,,,,,,VE_AN56/12_3
VE_AN56/12,84,Calicata,Bt3,63,83,80,55.00,5.50,0,61,16,23,1.50,,5.200,VE_AN56/12_4
VE_AN56/12,85,Calicata,BC,83,98,10,62.00,6.20,0,64,18,18,1.53,,4.700,VE_AN56/12_5
VE_AN57/11,86,Calicata,Aw,0,7,160,50.00,5.00,0,23,28,49,1.28,,14.000,VE_AN57/11_1
VE_AN57/11,87,Calicata,Bw1,7,28,60,62.00,6.20,0,12,18,70,1.17,,16.100,VE_AN57/11_2
VE_AN57/11,88,Calicata,Bw2,28,58,40,62.00,6.20,0,18,15,67,1.22,,16.100,VE_AN57/11_3
VE_AN57/11,89,Calicata,Bw2,58,85,20,64.00,6.40,0,18,18,64,1.24,,17.500,VE_AN57/11_4
VE_AN57/11,90,Calicata,Bw4,85,103,20,68.00,6.80,0,18,18,64,1.24,,14.200,VE_AN57/11_5
VE_AN57/12,91,Calicata,Ah,0,24,270,69.00,6.90,0,30,35,35,1.38,,25.200,VE_AN57/12_1
VE_AN57/12,92,Calicata,AB,24,49,150,73.00,7.30,0,23,32,45,1.30,,32.600,VE_AN57/12_2
VE_AN57/12,93,Calicata,BC,49,82,90,74.00,7.40,0,20,29,51,1.28,,30.900,VE_AN57/12_3
VE_AN57/12,94,Calicata,C,82,100,50,72.00,7.20,0,23,28,49,1.29,,28.400,VE_AN57/12_4
VE_AN58/11,95,Calicata,Aw,0,7,170,50.00,5.00,0,22,28,50,1.28,,14.000,VE_AN58/11_1
VE_AN58/11,96,Calicata,Bw1,7,28,70,62.00,6.20,0,12,18,70,1.17,,16.100,VE_AN58/11_2
VE_AN58/11,97,Calicata,Bw2,28,58,40,62.00,6.20,0,17,15,68,1.22,,16.100,VE_AN58/11_3
VE_AN58/11,98,Calicata,Bw3,58,85,30,64.00,6.40,0,17,18,65,1.24,,17.500,VE_AN58/11_4
VE_AN58/11,99,Calicata,Bw4,85,103,30,68.00,6.80,0,17,18,65,1.24,,14.200,VE_AN58/11_5
VE_AN58/12,100,Calicata,Ap,0,5,30,59.00,5.90,0,20,25,55,1.27,,16.400,VE_AN58/12_1
VE_AN58/12,101,Calicata,Bw1,5,30,40,64.00,6.40,0,19,28,53,1.29,,17.700,VE_AN58/12_2
VE_AN58/12,102,Calicata,Bw2,30,51,10,67.00,6.70,0,14,33,53,1.26,,18.500,VE_AN58/12_3
