Idsuelo,Y,X,Fecha,Muestreo,Profsutot,N,Orden_soter
VE_AM69/11,3.4200,-66.5000,1976,Calicata,110,M,QUARTZIPSAMMENT
VE_AM69/12,2.2300,-67.1700,1991,Calicata,80,P,KANHAPLAQUULT
VE_AM70/11,2.8200,-65.9300,1991,Calicata,150,I,PSAMMAQUENTS
VE_AM70/12,2.7000,-65.9300,1992,Calicata,92,P,TROPAQUEPTS
VE_AM73/11,2.4200,-65.1000,1991,Calicata,80,E,KANDIUDOX
VE_AM76/11,3.5000,-66.0800,1992,Calicata,121,W,KANHAPLUDULT
VE_AM76/12,4.4700,-63.0000,1988,Calicata,50,S,TROPORTHENTS
VE_AM78/11,6.5800,-66.9200,1989,Calicata,113,P,PALEAQUULTS
VE_AM78/12,7.9200,-64.0800,1988,Calicata,80,E,QUARTZIPSAMMENT
VE_AM79/11,5.0800,-66.0800,1976,Calicata,120,W,KANDIUDULTS
VE_AM79/12,4.6700,-65.8300,1983,Calicata,80,E,QUARTZIPSAMMENT
VE_AM81/11,5.5300,-67.1000,1989,Calicata,90,W,KANHAPLOHUMULT
VE_AM81/12,8.2800,-62.4700,1983,Calicata,43,E,USTORTHENTS
VE_AM82/11,2.3700,-63.6200,1991,Calicata,127,E,KANDIHUMULTS
VE_AM82/12,2.1200,-63.7800,1991,Calicata,75,E,KANDIUDOX
VE_AN55/11,9.9800,-65.2400,1988,Calicata,150,I,USTROPEPTS
VE_AN55/12,9.9900,-65.1700,1988,Calicata,98,W,HAPLUSTALFS
VE_AN56/11,9.1600,-65.2200,1991,Calicata,103,I,HAPLUSTERTS
VE_AN56/12,9.9900,-64.2500,1988,Calicata,98,W,HAPLUSTALFS
VE_AN57/11,9.1500,-63.2200,1991,Calicata,103,I,HAPLUSTERTS
VE_AN57/12,10.0500,-65.1700,1981,Calicata,100,W,EUTROPEPTS
VE_AN58/11,9.1500,-65.2200,1991,Calicata,103,I,HAPLUSTERTS
VE_AN58/12,9.9800,-65.1900,1988,Calicata,150,I,USTROPEPTS
VE_AN65/11,9.1700,-63.6300,1982,Calicata,155,W,HAPLUSTOX
VE_AN65/12,9.0800,-63.8300,1982,Calicata,160,E,QUARTZIPSAMMENT
VE_AR39/11,10.3100,-68.1800,1989,Calicata,150,W,DYSTROPEPTS
VE_AR39/12,9.6700,-67.5000,1989,Calicata,200,W,HAPLUSTALFS
VE_BO71/11,6.1200,-63.6800,1987,Calicata,110,W,KANHAPLUSTULTS
VE_BO71/12,7.0800,-64.9700,1988,Calicata,92,W,KANHAPLOHUMULTS
VE_BO72/11,7.4500,-63.1300,1987,Calicata,135,E,QUARZIPSAMMENTS
VE_BO72/12,7.3800,-63.7000,1987,Calicata,60,I,EPIAQUENTS
VE_BO74/11,7.4800,-65.6500,1988,Calicata,116,W,KANDIUSTULTS
VE_BO74/12,7.3400,-65.6400,1990,Calicata,85,W,QUARTZIPSAMMENTS
VE_BO75/11,4.4700,-63.0000,1988,Calicata,20,S,LITHIC TROPORTHENTS
