MO_ULR18_,MO_ULR18_I,CODIGO_VEN,COD_VEN,CODIGO_VE1,CODIGO1,ESTADO,A_MG,A_GR,A_ME,A_FI,A_MF,ARENA,LIMO,ARCILLA,FRA_G,CTEXT,PH_AGPAS,PH_AG11,PH_AG110,PH_KCIPAS,PH_KCI11,PH_KCI12,CO,NI,RELA_C,D_APARE,CACO3,CON_EXT_SA,CIC,CA_CAMB,MG_CAMB,NA_CAMB,K_CAMB,H_CAMB,P_SOLU,SIO2,FE2O3,AL2O3,SIO2_R2O3,PER_IGNICI,INFOR,ANO,MUNI,ANT_DIST,ANT_MUNI,DESCRITO,FECHA,PRECIPI,MES_HUM,TEMP,EVAPO,PAISAJE,SUBPAISA,RELIEVE,COD_RELI,FOR_TERR,REG_NAT,PERIODO,FORMACIO,MAT_PARE,PORC_PE,FORM_PEN,DIR_PEN,ALTITUD,DREN_IN,DREN_EX,CLA_DREN,PERMEA,PRO_GRIE,PRO_EFE,LIM_PROF,TIP_MESA,PRO_MESA,PEDREGO,ROCOSIDA,GRAD_ERO,INUNDACI,ORDEN,SUBORDE,GRA_GRUP,SUBGRUPO,FAM_GRAN,FAM_MINE,REG_TEMP,CLASE_U,CLASE_M,SUBCLA_U,SUB_E1,SUB_E2,SUB_E3,SUB_E4,NUM_HORI,CARACTER,DEST,DESTA,DESTAA,DESTAAA,ORD_SUBO,ORD_SO_GG,ORSOGGSG,CIC1,ALCALI,MO,CTEXT_ST,F_TIPO,F_STIPO,F_D,F_T,F_R,F_P,F_C,F_A,F_B,F_S,F_N,F_K,F_I,F_V,F_E,F_M,F_L,F_CLAS,F_DISP,F_RETE,F_FIJA,F_LABO,F_ODIS,F_HDIS,PAISAJEA,SPAISAJE,AREAMBI,BIOCLIMAA,PRECIPIA,MHUM_MIN,MHUM_MAX,RELIEVEA,PEN_MIN,PEN_MAX,M_HUME,F_QUIMICA,F_FERTILI,F_INTEGRA,FUENTE,PROFILE_ID,S_ELEVA,NEWFIELD1,CO2,ID_REALA,ID_REALA_NUM,ESTADO_1,HORIZONTE,HORIZON,PROF_S_1,PROF_I_1,ARENA_1,LIMO_1,ARCILLA_1,PH_AG_11,PH_KCI_PAS,CO_1,D_APAREN,CON_EXT__1,CAP_INT_CA,CO_0_5,CO_5_15,CO_15_30,CO_30_160,MAXDEPTH,POINT_X,POINT_Y
9,9,315,315 VEN 1960 AN 5,315,0,,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No,1960,,,,R.FeverR.GomezP.Guzman,24/03/60,0,6,0.0,0.0,L,05,3,Le,,OR,,0,,4.0,2.0,,0,0,0,0,0,0,1.3,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,0,,0,,,,,,,,1,Arenoso franco   estructura maciza a prismatica   gruesa   mal definida   algo dura en su sitio  y cuando seca  muy friable cuando humedo   pH:6.5,Sin_informa,,,,,,,0.00,0.000,0.00000,,,,d,,,,,,,,,,,,,,,,,,,,,,,,30.70,BS-T,1300,6,6,Plano,4.0,4.0,6,,,,INIA,315 VEN 1960 AN 5,0,315 VEN 1960 AN 5,0.00,315,1,,0,,0,0,0.00,0.00,0.00,0.00,0.00,0.000,0.00,,,0.00,0.00,0.00,,0.00,-65.08231467730,8.82137101466
10,10,316,316 VEN 1960 AN 6,316,0,,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No,1960,,,,F.FeverR.GomezP.Guzman,23/03/60,0,6,0.0,0.0,L,,0,,,OR,,0,,2.0,3.0,,0,0,0,0,0,0,1.1,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,0,,0,,,,,,,,1,Arenoso franco   fractura horizontal muy debil  suelta a ligeramente dura cuando seca  muy friable cuando humeda  pH:6.3,Sin_informa,,,,,,,0.00,0.000,0.00000,,,,d,,,,,,,,,,,,,,,,,,,,,,,,45.20,BS-T,1300,7,8,Ondulado,1.0,12.0,7,,,,INIA,316 VEN 1960 AN 6,0,316 VEN 1960 AN 6,0.00,316,2,,0,,0,0,0.00,0.00,0.00,0.00,0.00,0.000,0.00,,,0.00,0.00,0.00,,0.00,-65.04702457950,8.48036235144
11,11,317,317 VEN 1960 AN 7,317,0,,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No,1960,,,,R.Gomez,30/03/60,0,6,0.0,0.0,L,,0,,,OR,,0,,2.5,1.0,,0,2,3,7,2,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,0,,0,,,,,,,,1,Arenoso franco   estructura en bloques   subangular   mediana y debil   algo dura cuando seca y friable cuando humeda   pH: 5.8   limite brusco   suave,Sin_informa,,,,,,,0.00,0.000,0.00000,,,,g,,,,,,,,,,,,,,,,,,,,,,,,41.10,BS-T,1425,7,9,Quebrado,5.0,8.0,8,,,,INIA,317 VEN 1960 AN 7,0,317 VEN 1960 AN 7,0.00,317,3,,0,,0,0,0.00,0.00,0.00,0.00,0.00,0.000,0.00,,,0.00,0.00,0.00,,0.00,-65.28243449680,8.19531931554
12,12,4,4 VEN 1959 AN 3,4,4,AN,3.930,4.840,14.280,52.940,16.830,92.82,3.26,3.93,3.59,a,6.200,6.030,6.270,4.820,4.790,5.240,0.170,0.010,3.68,0.00,0.000,0.000,1.43,0.240,0.400,0.010,0.010,0.380,6.530,39.900,9.190,36.120,1.620,14.590,Si,1959,,,,A.BustamanteF.Westin,14/05/59,0,6,0.0,0.0,L,,0,,,OR,Qr,1,U,1.5,2.0,,0,5,5,2,6,0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,NO,G,A,A,A,7,S,1,,,,,,,,1,ARENOSO; Pardo (10YR 4/3 en seco); Pardo Oscuro (7.5YR 3/2 en humedo); estructura granular  mediana  debil; blando en seco  muy friable en humedo  no adherente; en mojado  l¦mite difuso; pH=5.9,Ultisoles,Ustults,Paleustults,Typic Paleustults,GA,GAA,GAAA,1.43,0.700,0.29614,,G,,d,,,,,,,,,k,,,e,m,,Adke,MO,BA,BA,AL,AL,BA,,,3.10,BS-T,1175,7,7,Ondulado,4.0,12.0,7,MO,AL,MO,INIA,4 VEN 1959 AN 3,0,4 VEN 1959 AN 3,0.17,4,4,AN,1,A,0,6,93.98,3.02,3.00,5.95,5.05,0.230,0.00,,1.76,2.20,2.01,1.79,0.97,200.00,-64.28098182890,8.98428443743
13,13,877,877 VEN 1987 AN 15,877,0,,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No,1987,SimonRodriguez,SimonRodriguez,ElTigre,J.ComermaF.Granados,22/07/87,950,6,26.0,0.0,I,GV,3,GL,,,Qp,12,G,1.0,1.0,SE,270,5,5,2,0,0,1.5,1.0,0.0,0.0,1.0,1.0,0.0,,G,A,A,A,7,S,1,IV,IV,S,f,,,,1,Arenoso   estructura de grano simple   suelto seco  suelto humedo   no pegajoso ni plastico mojado   sin reaccion al HCl   medianamente acido  pH:5.7   limite abrupto y plano.,Ultisoles,Ustults,Paleustults,Typic Paleustults,GA,GAA,GAAA,0.00,0.000,0.00000,,,,d,,,,,,,,,k,,,,,,d,MO,,BA,,AL,MO,,,2.20,BS-T,1200,5,7,Ondulado,1.0,3.0,6,MO,,,INIA,877 VEN 1987 AN 15,0,877 VEN 1987 AN 15,0.00,877,5,,0,,0,0,0.00,0.00,0.00,0.00,0.00,0.000,0.00,,,0.00,0.00,0.00,,0.00,-64.15118413750,8.88630429722
14,14,1034,1034 VEN 1992 AN 16,1034,0,,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No,1992,Miranda,,,J.GonzalezA.GonzalezE.ChaconF.Granados,15/10/92,950,5,26.0,0.0,L,01,4,LA,,OR,Qp,12,A,0.5,1.0,,0,0,0,0,0,0,1.9,1.0,0.0,0.0,1.0,1.0,0.0,,G,A,C,A,7,S,1,III,,S,c,f,,,1,Franco arenoso   estructura blocosa subangular  moderado  media   friable humedo   debilmente pegajoso y ligeramente plastico mojado   no calcareo   muy fuertemente acido   pH: 4.9   limite gradual y plano,Ultisoles,Ustults,Plinthustults,Typic Plinthustults,GA,GAC,GACA,0.00,0.000,0.00000,,,,d,,,,,,,,,k,,,,,,d,MO,,BA,,,MO,,,50.50,BS-T,1250,0,6,Plano,2.0,3.0,6,MO,,,INIA,1034 VEN 1992 AN 16,0,1034 VEN 1992 AN 16,0.00,1034,6,,0,,0,0,0.00,0.00,0.00,0.00,0.00,0.000,0.00,,,0.00,0.00,0.00,,0.00,-64.15550698050,8.03464002369
15,15,1035,1035 VEN 1992 AN 17,1035,0,,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No,1992,Miranda,,,J.GonzalezA.GonzalezE.ChaconF.Granados,08/10/92,950,6,26.0,0.0,L,,0,,,OR,Qp,12,,1.0,0.0,,200,5,5,2,0,0,1.7,1.0,0.0,0.0,1.0,1.0,0.0,,D,B,A,A,6,S,1,IV,,S,c,f,,,1,Arena   estructura de grano simple   suelto humedo   no pegajoso ni plastico mojado   no calcareo   permeabilidad muy alta   medianamente acido   pH:5.4  limite gradual y plano o suave.,Oxisoles,Ustox,Haplustox,Typic Aplustox,DB,DBA,DBAA,0.00,0.000,0.00000,,,,d,,,,,,,,,k,i,,,,,d,MO,,MO,,AL,MO,,,50.50,BS-T,1250,0,6,Plano,2.0,3.0,6,MO,,,INIA,1035 VEN 1992 AN 17,0,1035 VEN 1992 AN 17,0.00,1035,7,,0,,0,0,0.00,0.00,0.00,0.00,0.00,0.000,0.00,,,0.00,0.00,0.00,,0.00,-64.13252396450,8.02961318793
16,16,1036,1036 VEN 1992 AN 18,1036,0,,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No,1992,Miranda,,,J.GonzalezA.GonzalezE.ChaconF.Granados,09/10/92,950,6,26.0,0.0,A,Me,1,ME,,OR,Qp,12,,0.5,0.0,,150,5,0,2,6,0,1.9,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,0,,0,IV,,S,c,f,,,1,Arena   estructura de grano simple   suelto humedo   no pegajoso ni plastico mojado   no calcareo   permeabilidad muy alta   medianamente acido  pH:5.4   limite gradual y plano o suave.,Sin_informa,,,,,,,0.00,0.000,0.00000,,,,d,,,,,,,,,,,,,,,,AL,,,,,,,,50.50,BS-T,1250,0,6,Plano,2.0,3.0,6,,,,INIA,1036 VEN 1992 AN 18,0,1036 VEN 1992 AN 18,0.00,1036,8,,0,,0,0,0.00,0.00,0.00,0.00,0.00,0.000,0.00,,,0.00,0.00,0.00,,0.00,-64.09445836400,8.00016729951
17,17,1037,1037 VEN 1992 AN 19,1037,0,,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No,1992,Miranda,,,J.GonzalezA.GonzalezE.ChaconF.Granados.,09/10/92,950,6,26.0,0.0,L,01,4,LA,,OR,Qp,12,,0.5,1.0,,180,0,0,1,7,0,1.8,1.0,0.0,0.0,1.0,1.0,1.0,,G,A,D,B,7,S,1,V,,S,c,f,,,1,Franco arenoso  estructura de grano simple suelto humedo   no pegajoso ni plastico mojado   no calcareo   permeabilidad muy alta   medianamente acido  pH:5.7 limite abrupto y plano o suave.,Ultisoles,Ustults,Kandiustults,Arenic Kandiustults,GA,GAD,GADB,0.00,0.000,0.00000,,,,d,,,,,,,,,k,,,,,,d,MO,,BA,,AL,MO,,,50.50,BS-T,1250,0,6,Plano,2.0,3.0,6,MO,,,INIA,1037 VEN 1992 AN 19,0,1037 VEN 1992 AN 19,0.00,1037,9,,0,,0,0,0.00,0.00,0.00,0.00,0.00,0.000,0.00,,,0.00,0.00,0.00,,0.00,-64.01473706380,7.98221390835
18,18,1038,1038 VEN 1992 AN 20,1038,0,,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No,1992,Miranda,,,J.GonzalezA.GonzalezE.ChaconF.Granados.,08/10/92,950,6,26.0,0.0,L,01,4,LA,EG,OR,Qp,12,,0.5,1.0,,250,0,0,4,4,0,1.7,1.0,0.0,0.0,1.0,1.0,0.0,,G,A,D,A,7,S,1,III,,S,c,f,,,1,Arena   estructura de grano simple   friable humedo   no pegajoso ni plastico mojado   no calcareo   permeabilidad muy alta   fuertemente acido   pH:5.5  limite abrupto y plano o suave.,Ultisoles,Ustults,Kandiustults,Typic Kandiustults,GA,GAD,GADA,0.00,0.000,0.00000,,,,d,,,,,,,,,k,,,,,,d,MO,,BA,,AL,MO,,,50.50,BS-T,1250,0,6,Plano,2.0,3.0,6,MO,,,INIA,1038 VEN 1992 AN 20,0,1038 VEN 1992 AN 20,0.00,1038,10,,0,,0,0,0.00,0.00,0.00,0.00,0.00,0.000,0.00,,,0.00,0.00,0.00,,0.00,-63.96805366710,8.00088792617
