MO_ULR18_,MO_ULR18_I,CODIGO_VEN,COD_VEN,CLASE_U,DEST,DESTA,DESTAA,DESTAAA,FUENTE,PROFILE_ID,ID_REALA,ID_REALA_NUM,POINT_X,POINT_Y
9,9,315,315 VEN 1960 AN 5,,,,,,INIA,315 VEN 1960 AN 5,315,1,-65.08231467730,8.82137101466
10,10,316,316 VEN 1960 AN 6,,,,,,INIA,316 VEN 1960 AN 6,316,2,-65.04702457950,8.48036235144
11,11,317,317 VEN 1960 AN 7,,,,,,INIA,317 VEN 1960 AN 7,317,3,-65.28243449680,8.19531931554
12,12,4,4 VEN 1959 AN 3,,Ultisoles,Ustults,Paleustults,Typic Paleustults,INIA,4 VEN 1959 AN 3,4,4,-64.28098182890,8.98428443743
13,13,877,877 VEN 1987 AN 15,IV,Ultisoles,Ustults,Paleustults,Typic Paleustults,INIA,877 VEN 1987 AN 15,877,5,-64.15118413750,8.88630429722
14,14,1034,1034 VEN 1992 AN 16,III,Ultisoles,Ustults,Plinthustults,Typic Plinthustults,INIA,1034 VEN 1992 AN 16,1034,6,-64.15550698050,8.03464002369
15,15,1035,1035 VEN 1992 AN 17,IV,Oxisoles,Ustox,Haplustox,Typic Aplustox,INIA,1035 VEN 1992 AN 17,1035,7,-64.13252396450,8.02961318793
16,16,1036,1036 VEN 1992 AN 18,IV,Sin_informa,,,,INIA,1036 VEN 1992 AN 18,1036,8,-64.09445836400,8.00016729951
17,17,1037,1037 VEN 1992 AN 19,V,Ultisoles,Ustults,Kandiustults,Arenic Kandiustults,INIA,1037 VEN 1992 AN 19,1037,9,-64.01473706380,7.98221390835
18,18,1038,1038 VEN 1992 AN 20,III,Ultisoles,Ustults,Kandiustults,Typic Kandiustults,INIA,1038 VEN 1992 AN 20,1038,10,-63.96805366710,8.00088792617
19,19,1039,1039 VEN 1992 AN 21,IV,Ultisoles,Ustults,Kandiustults,Typic Kandiustults,INIA,1039 VEN 1992 AN 21,1039,11,-63.93788896410,8.00519755219
20,20,1040,1040 VEN 1992 AN 22,VI,Entisoles,Psamments,Quartzipsamments,Ustoxic Quartzipsamments,INIA,1040 VEN 1992 AN 22,1040,12,-63.88977019620,8.07270907903
24,24,869,869 VEN 1987 AP 09,III,Inceptisoles,Tropepts,Ustropepts,Typic Ustropepts,INIA,869 VEN 1987 AP 09,869,13,-69.16123016410,7.56845367808
25,25,870,870 VEN 1987 AP 10,VII,Entisoles,Psamments,Quartzipsamments,Ustoxic Quartzipsamments,INIA,870 VEN 1987 AP 10,870,14,-68.90739570770,7.87064155520
27,27,865,865 VEN 1987 AP 5,III,Inceptisoles,Aquepts,Tropaquepts,Aeric Tropaquepts,INIA,865 VEN 1987 AP 5,865,15,-67.62067149260,7.44367949796
28,28,868,868 VEN 1987 AP 8,III,Inceptisoles,Tropepts,Ustropepts,Typic Ustropepts,INIA,868 VEN 1987 AP 8,868,16,-66.91231817030,7.44388429154
29,29,904,904 VEN 1971 AP 11,IV,Inceptisoles,Tropepts,Ustropepts,Fluventic Ustropepts,INIA,904 VEN 1971 AP 11,904,17,-67.55431520670,7.84133963531
36,36,30,30 VEN 1959 AR 4,,Entisoles,Psamments,Ustipsamments,,INIA,30 VEN 1959 AR 4,30,18,-67.55551319670,10.22351602040
37,37,922,922 VEN 1988 AR 62,I,Mollisoles,Ustolls,Haplustolls,Fluventic Haplustolls,INIA,922 VEN 1988 AR 62,922,19,-67.58334307630,10.27703249490
55,55,238,238 VEN 1963 AR 28,,Inceptisoles,Tropepts,Ustropepts,Vertic Ustropepts,INIA,238 VEN 1963 AR 28,238,20,-67.57659940790,10.07374240760
60,60,800,800 VEN 1985 AR 60,II,Entisoles,Aquents,Hydraquents,Typic Hydraquents,INIA,800 VEN 1985 AR 60,800,21,-67.59559809800,10.11478514810
65,65,54,54 VEN 1960 AR 7,,Sin_informa,,,,INIA,54 VEN 1960 AR 7,54,22,-67.27917532600,10.24242926020
70,70,888,888 VEN 1987 BA 54,II,Inceptisoles,Tropepts,Ustropepts,Fluventic Ustropepts,INIA,888 VEN 1987 BA 54,888,23,-70.18382572700,8.59178532241
71,71,896,896 VEN 1987 BA 55,III,Alfisoles,Ustalfs,Haplustalfs,Typic Haplustalfs,INIA,896 VEN 1987 BA 55,896,24,-70.18554424140,8.59309954982
72,72,897,897 VEN 1987 BA 56,II,Inceptisoles,Tropepts,Ustropepts,Typic Ustropepts,INIA,897 VEN 1987 BA 56,897,25,-70.18483650670,8.59532311080
73,73,1005,1005 VEN 1991 BA 66,II,Alfisoles,Udalfs,Hapludalfs,Ultic Hapludalfs,INIA,1005 VEN 1991 BA 66,1005,26,-70.18301700990,8.59360468118
81,81,994,994 VEN 1990 BA 61,II,Inceptisoles,Tropepts,Ustropepts,Fluventic Ustropepts,INIA,994 VEN 1990 BA 61,994,27,-70.06403863420,8.42168120444
82,82,995,995 VEN 1990 BA 62,II,Inceptisoles,Tropepts,Ustropepts,Fluventic Ustropepts,INIA,995 VEN 1990 BA 62,995,28,-70.06133458670,8.41897727192
83,83,996,996 VEN 1990 BA 63,III,Inceptisoles,Aquepts,Tropaquepts,Typic Tropaquepts,INIA,996 VEN 1990 BA 63,996,29,-70.06187555190,8.41555199399
84,84,997,997 VEN 1990 BA 64,III,Inceptisoles,Tropepts,Ustropepts,Typic Ustropepts,INIA,997 VEN 1990 BA 64,997,30,-70.06061339660,8.41302790252
85,85,998,998 VEN 1990 BA 65,II,Alfisoles,Ustalfs,Haplustalfs,Typic Haplustalfs,INIA,998 VEN 1990 BA 65,998,31,-70.06187545730,8.40978327805
86,86,815,815 VEN 1985 BA 52,,Inceptisoles,Tropepts,Ustropepts,Fluventic Ustropepts,INIA,815 VEN 1985 BA 52,815,32,-69.95756199340,8.75408143054
87,87,816,816 VEN 1985 BA 53,I,Entisoles,Fluvents,Ustifluvents,Mollic Ustifluvents,INIA,816 VEN 1985 BA 53,816,33,-69.96089435780,8.75088772319
88,88,941,941 VEN 1990 BA 58,II,Inceptisoles,Tropepts,Ustropepts,Typic Ustropepts,INIA,941 VEN 1990 BA 58,941,34,-69.95506267180,8.74922141470
89,89,942,942 VEN 1990 BA 59,III,Vertisoles,Usterts,Haplusterts,Typic Haplusters,INIA,942 VEN 1990 BA 59,942,35,-69.95811716510,8.74561136539
90,90,942,942 VEN 1990 BA 60,III,Vertisoles,Usterts,Haplusterts,Typic Haplusters,INIA,942 VEN 1990 BA 60,942,36,-69.95061946480,8.74602850098
91,91,1006,1006 VEN 1991 BA 67,II,Entisoles,Fluvents,Ustifluvents,Typic Ustifluvents,INIA,1006 VEN 1991 BA 67,1006,37,-69.95270211120,8.74047430858
92,92,898,898 VEN 1987 BA 57,III,Inceptisoles,Aquepts,Tropaquepts,Aeric Tropaquepts,INIA,898 VEN 1987 BA 57,898,38,-69.83870383620,8.62803120330
93,93,699,699 VEN 1977 BA 20,III,Inceptisoles,Tropepts,Dystropepts,Ustic Dystropepts,INIA,699 VEN 1977 BA 20,699,39,-70.56795499960,8.30221403110
